"","col","rate","R2"
"1",1,-0.000150938982957893,0.0018943301330346
"2",2,-0.0171710488183302,0.476691866313182
"3",3,0.0047025702932797,0.420896294949786
"4",4,-0.00451638109984404,0.340398620859239
"5",5,-0.00147711063129983,0.134300719459724
"6",6,0.00263278079935744,0.258367822171875
"7",7,-0.0132982927604123,0.293244358058934
"8",8,0.00461118797971016,0.670552096429856
"9",9,0.00541728566917579,0.617336443858585
"10",10,-0.000739512364577792,0.0330994836874279
"11",11,0.00268933670319108,0.56121444136836
"12",12,-0.000829307620083001,0.0375934981521109
"13",13,0.00724466722965612,0.976258384788544
"14",14,0.00279424328717198,0.526307674121837
"15",15,0.00123585743289984,0.271344874448651
"16",16,-0.0087987933669319,0.601918544259916
"17",17,0.00244377111820837,0.460829152326657
"18",18,-0.00870550356199795,0.982867184760697
"19",19,-0.024298138988358,0.516442437840552
"20",20,-0.0174052700740242,0.842535591478935
"21",21,0.00272235988131661,0.503736542299586
"22",22,-0.0176847366269559,0.287454308277127
"23",23,-0.018245069044532,0.382913557168887
"24",24,0.00327057343077355,0.759373494486942
"25",25,0.0107985254313021,0.983240001734911
"26",26,-0.00889317157620967,0.689131606622787
"27",27,-0.0163641867503915,0.746294052166533
"28",28,-0.00942112891662575,0.85686942186474
"29",29,-0.0075210069500073,0.261524372351689
"30",30,-0.0078241862747831,0.336186088035041
"31",31,-0.0062826952625624,0.813005194851208
"32",32,0.00384821058817271,0.543464020775314
"33",33,-0.000419174153561398,0.00487787966082894
"34",34,-0.0256300885571609,0.675997949968199
"35",35,0.00191031875065617,0.0331594656743602
"36",36,0.00106031539151227,0.126441965520657
"37",37,-0.00197474539196144,0.0479509681299939
"38",38,0.00763861151865825,0.801103566585959
"39",39,-0.0307798851686549,0.590953503746351
"40",40,0.00301644040107552,0.722523432587297
"41",41,8.97227885862386e-05,4.55509422457773e-05
"42",42,0.0156910774954276,0.667678526312483
"43",43,-0.00575626058173275,0.35212444242409
"44",44,0.00101253087498983,0.0985854703005933
"45",45,-0.0151559296586359,0.760761836376678
"46",46,0.00504876905602223,0.936548969708055
"47",47,-0.000150865580491366,0.00468766268507137
"48",48,-0.00543375959946246,0.117528030360614
"49",49,-0.00973185286176603,0.638058568113185
"50",50,0.00571252254962028,0.535973950603672
"51",51,0.00559133567643743,0.672005995510775
"52",52,0.00489959430162746,0.439069653461235
"53",53,0.00283120791001629,0.522835773518621
"54",54,0.000642767319529833,0.126306305359481
"55",55,0.0044889675281006,0.704175436020102
"56",56,0.00188737838808945,0.0103778685035797
"57",57,-6.51183427157019e-05,8.67512375848517e-05
"58",58,0.00543580825754141,0.838513979585215
"59",59,-0.015724738401604,0.512007143745854
"60",60,-0.0108154768651189,0.603409354449442
"61",61,0.00167571366896475,0.12041887694268
"62",62,-0.0286270843224358,0.910875588403831
"63",63,-0.00159006658235574,0.97488664698603
"64",64,-0.00191555425576471,0.038543613834623
"65",65,-0.00369407667006123,0.335898402641617
"66",66,-0.00394077003153504,0.213206398685378
"67",67,0.0108172846028033,0.891669811056366
"68",68,0.00534718552034479,0.75879351090645
"69",69,-0.00622743639258715,0.931777577914897
"70",70,0.00155370836250841,0.951345706435886
"71",71,-0.0374443510024012,0.636865140113008
"72",72,0.00511863376220383,0.961000847924967
"73",73,0.00368362268379899,0.441689122723908
"74",74,-0.0163506786644755,0.483737815191977
"75",75,0.0109287263052696,0.82966767583124
"76",76,0.00187928379288168,0.323438387507937
"77",77,-0.00387501315791279,0.339382725352724
"78",78,0.00380195167350948,0.504757249142518
"79",79,-0.0166283602124656,0.381347324209465
"80",80,-0.0214035990440579,0.674552905702128
"81",81,-0.00345811359237395,0.108331768894255
"82",82,-0.00374454231935192,0.350326552979495
"83",83,0.00189870824682937,0.139381279705993
"84",84,-0.00145563703620916,0.969775215410951
"85",85,-0.0310682326406918,0.607882990840019
"86",86,0.0020194990870845,0.465939109205019
"87",87,-0.00492802767457072,0.533077139118515
"88",88,0.000425512098904467,0.0429072710594183
"89",89,0.00912121817455561,0.941034909879133
