"","Time","H2BCount","FucciCount","rep","ffrac","log"
"1",160,307,63,1,20.5211726384365,8.26209484537018
"2",180.6419,522,107,1,20.4980842911877,9.02790599656988
"3",204.5433,881,217,1,24.6311010215664,9.78299820892041
"4",211.9294,1041,253,1,24.3035542747358,10.0237543532994
"5",228.3597,1474,385,1,26.1194029850746,10.5255208090951
"6",235.9997,1737,427,1,24.5826137017847,10.7623820387104
"7",236.5719,1659,452,1,27.2453285111513,10.6960981709559
"8",252.7814,2527,922,1,36.4859517214088,11.3032099489448
"9",254.9772,2454,795,1,32.3960880195599,11.2609195336629
"10",260.3244,2716,524,1,19.2930780559647,11.4072677642447
"11",276.6853,4047,1237,1,30.5658512478379,11.9826371336694
"12",285.1861,5151,1224,1,23.7623762376238,12.3306368247233
"13",303.8147,6482,1639,1,25.2854057389695,12.6622233053178
"14",308.9739,6933,1536,1,22.1549112938122,12.7592640451888
"15",309.7044,6240,1548,1,24.8076923076923,12.6073303137496
"28",160,276,50,2,18.1159420289855,8.10852445677817
"29",180.6419,440,88,2,20,8.78135971352466
"30",204.5433,751,143,2,19.0412782956059,9.55266909751427
"31",211.9294,948,198,2,20.8860759493671,9.88874324889826
"32",228.3597,1298,297,2,22.8813559322034,10.3420746679991
"33",235.9997,1510,311,2,20.5960264900662,10.5603328342124
"34",236.5719,1570,439,2,27.9617834394904,10.616548843779
"35",252.7814,2265,675,2,29.8013245033113,11.1452953349336
"36",254.9772,2363,645,2,27.2958104104951,11.2064039139738
"37",260.3244,2813,606,2,21.5428368290082,11.4578938373147
"38",276.6853,2862,452,2,15.7931516422082,11.4828079567267
"39",285.1861,4829,1170,2,24.2286187616484,12.2375087481727
"40",303.8147,6647,1574,2,23.6798555739431,12.6984876385577
"41",308.9739,7711,1754,2,22.7467254571392,12.9127022526479
"42",309.7044,6929,1770,2,25.5448116611344,12.7584314409003
"55",160,317,82,3,25.8675078864353,8.30833903013941
"56",180.6419,534,99,3,18.5393258426966,9.06069593168755
"57",204.5433,940,213,3,22.6595744680851,9.876516946565
"58",211.9294,1096,213,3,19.4343065693431,10.0980320829605
"59",228.3597,1495,322,3,21.5384615384615,10.5459297690855
"60",235.9997,1679,433,3,25.7891602144133,10.713386514937
"61",236.5719,1621,439,3,27.0820481184454,10.6626683755175
"62",252.7814,2431,767,3,31.5508021390374,11.2473341780287
"63",254.9772,2364,679,3,28.7225042301184,11.2070143201775
"64",260.3244,2634,602,3,22.8549734244495,11.3630396302565
"65",276.6853,3838,967,3,25.1954142782699,11.9061389961954
"66",285.1861,4362,1141,3,26.1577258138469,12.0907740546408
"67",303.8147,6574,1734,3,26.3766352296927,12.6825557410803
"68",308.9739,6801,1788,3,26.2902514336127,12.7315311764619
"69",309.7044,5942,1618,3,27.2298889262874,12.5367328898354
"82",160,260,46,4,17.6923076923077,8.02236781302845
"83",180.6419,424,66,4,15.5660377358491,8.7279204545632
"84",204.5433,733,153,4,20.8731241473397,9.51766938813381
"85",211.9294,906,233,4,25.7174392935982,9.82336724004623
"86",228.3597,1316,257,4,19.5288753799392,10.3619437737352
"87",235.9997,1491,427,4,28.6384976525822,10.5420645422834
"88",236.5719,1374,375,4,27.292576419214,10.4241662888181
"89",252.7814,2211,651,4,29.4436906377205,11.1104833098162
"90",254.9772,2247,644,4,28.6604361370716,11.1337844091799
"91",260.3244,2438,467,4,19.15504511895,11.2514824106202
"92",276.6853,3660,959,4,26.2021857923497,11.8376279331714
"93",285.1861,3899,827,4,21.2105668120031,11.9288884393976
"94",303.8147,6264,1523,4,24.3135376756066,12.612868497291
"95",308.9739,6393,1426,4,22.3056468011888,12.6422773785039
"96",309.7044,6888,1643,4,23.8530778164925,12.7498694273968
"109",160,353,80,5,22.6628895184136,8.46352437327118
"110",180.6419,588,120,5,20.4081632653061,9.19967234483636
"111",204.5433,972,208,5,21.3991769547325,9.92481250360578
"112",211.9294,1154,291,5,25.2166377816291,10.1724275086455
"113",228.3597,1606,400,5,24.906600249066,10.6492561775173
"114",235.9997,1843,502,5,27.2381985892566,10.8478403556307
"115",236.5719,1840,534,5,29.0217391304348,10.8454900509444
"116",252.7814,2730,827,5,30.2930402930403,11.4146852358072
"117",254.9772,2728,754,5,27.6392961876833,11.4136279290242
"118",260.3244,3128,702,5,22.4424552429668,11.6110247973074
"119",276.6853,4556,1232,5,27.0412642669008,12.1535520317081
"120",285.1861,4966,1195,5,24.0636327023762,12.2778685461768
"121",303.8147,7043,1776,5,25.2165270481329,12.7819743673893
"122",308.9739,7609,1711,5,22.4865291102642,12.8934911470849
"123",309.7044,7336,1860,5,25.3544165757906,12.8407779235951
"136",160,337,83,6,24.6290801186944,8.39660478118186
"137",180.6419,505,96,6,19.009900990099,8.98013957763916
"138",204.5433,911,251,6,27.5521405049396,9.83130724380205
"139",211.9294,1075,253,6,23.5348837209302,10.0701209444768
"140",228.3597,1570,386,6,24.5859872611465,10.616548843779
"141",235.9997,1789,435,6,24.315259921744,10.8049376720519
"142",236.5719,1811,469,6,25.8972943125345,10.8225708309502
"143",252.7814,2532,757,6,29.8973143759874,11.3060616894283
"144",254.9772,2616,746,6,28.5168195718654,11.3531468254981
"145",260.3244,2985,646,6,21.641541038526,11.5435152161522
"146",276.6853,4069,1105,6,27.1565495207668,11.9904585650737
"147",285.1861,4710,1240,6,26.3269639065817,12.2015113445001
"148",303.8147,6981,1989,6,28.4916201117318,12.7692179961265
"149",308.9739,7284,2037,6,27.9654036243822,12.8305152069768
"150",309.7044,7307,2196,6,30.0533734774873,12.8350634920051
