"","cell","A0","B0","C0"
"1","SKMEL19",0.2951,0.1639,0.541
"2","SKMEL19",0.2951,0.1475,0.5574
"3","SKMEL19",0.2787,0.1967,0.5246
"4","WM88",0.9455,0.0545,0
"5","WM88",0.9636,0.0364,0
"6","WM88",0.9455,0.0545,0
"7","SC01",0.8966,0.0776,0.0259
"8","SC01",0.8966,0.0776,0.0259
"9","SC01",0.8966,0.0776,0.0259
"10","SC07",0.4045,0.3146,0.2809
"11","SC07",0.4045,0.2809,0.3146
"12","SC07",0.4045,0.3483,0.2472
"13","SC10",0.0635,0.0159,0.9206
"14","SC10",0.0635,0.0159,0.9206
"15","SC10",0.0635,0.0159,0.9206
"16","SKMEL5",0.3681,0.1881,0.4438
"17","SKMEL5",0.3701,0.1779,0.4519
"18","SKMEL5",0.3681,0.1963,0.4356
